id_produto,nome_produto,volume,id_categoria,id_marca,preco_unitario,data_cadastro,ativo
1,SHOW BRONZE SKIN ACTIVE BRONZE 100g,100g,1,1,59.9,2016-08-11,True
2,KIT BRONZE ROTINA (MOUSSE+ESFOLIANTE+SABONETE),Kit,2,1,159.0,2016-08-11,True
3,ÓLEO BRONZEADOR COCO E URUCUM - 100ml,100ml,3,1,29.9,2016-08-11,True
4,PARAFINA PIPERINA SHOW BRONZE 100g,100g,4,1,29.9,2016-08-11,True
5,PARAFINA MORENITA SHOW BRONZE 100g,100g,4,1,29.9,2016-08-11,True
6,PARAFINA MORENA MEL SHOW BRONZE 100g,100g,4,1,29.9,2016-08-11,True
7,PARAFINA MORENA JAMBO SHOW BRONZE 100g,100g,4,1,29.9,2016-08-11,True
8,CAIXA BANHO DE LUA HOME CARE,Caixa,5,2,29.9,2016-08-11,True
9,SHOW BRONZE BRUMA POS SOL 200ml,200ml,6,1,89.9,2016-08-11,True
10,ÓLEO ATIVADOR DE BRONZEADO NICOLE BAHLS 100ml,100ml,3,1,29.9,2016-08-11,True
11,NICOLE BAHLS ILUMINADOR CORPORAL VERÃO INTENSO 130G,130g,7,1,54.0,2016-08-11,True
12,ATIVADOR DE BRONZEADO NICOLE BAHLS 100g,100g,3,1,29.9,2016-08-11,True
13,ESFOLIANTE PRÉ-BRONZE - 250g,250g,8,1,29.9,2016-08-11,True
14,PARAFINA CAFÉ VERÃO SHOW BRONZE 100g,100g,4,1,29.0,2016-08-11,True
15,KIT GOLDEN CLARITY HOME,Kit,2,3,64.9,2016-08-11,True
16,HIDRATANTE CORPORAL GOLDEN CLARITY 100g,100g,9,3,19.9,2016-08-11,True
17,EMULSÃO REVELADORA CREMOSA 10 VOLUMES 100ml,100ml,10,3,10.9,2016-08-11,True
18,SABONETE LÍQUIDO GOLDEN CLARITY 120ml,120ml,11,3,15.9,2016-08-11,True
19,ESFOLIANTE EM PÓ CORPORAL GOLDEN CLARITY 100g,100g,8,3,19.9,2016-08-11,True
20,ÓLEO ILUMINADOR AMENDOAS E JOJOBA 100ML,100ml,7,1,49.9,2016-08-11,True
21,PROTETOR SOLAR FPS 30 CAPILAR ESSENCIA 200g,200g,12,4,49.9,2016-08-11,True
22,GEL PÓS SOL PISTACHE - 140g,140g,6,1,9.9,2016-08-11,True
23,GEL PÓS SOL - 140g,140g,6,1,9.9,2016-08-11,True
24,MOUSSE AUTOBRONZEADOR - 140ml,140ml,13,1,89.9,2016-08-11,True
25,SABONETE MOUSSE - 140ml,140ml,11,1,19.0,2016-08-11,True
26,KIT TRIO PERFEITO (ÓLEO URUCUM E MELANCIA E ILUMINADOR),Kit,2,1,99.9,2016-08-11,False
27,ÓLEO BRONZEADOR MELÃO E MELANCIA - 100ml,100ml,3,1,29.0,2016-08-11,False
